                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.038,                 5.5477,                 1.4143,                      0,                      0,                      0,                      0,                 2.4103,                 4.9423,                 1.2428,              0.0001073,              0.0001073,              0.0001073
                      2,                 2.4942,                 4.7061,                 1.1045,                0.03387,                0.16913,                0.03929,                0.01666,                 2.2373,                 4.3121,                 1.0795,             0.00021776,             0.00021776,             0.00021776
                      3,                 2.3942,                 4.1139,                 1.0568,                0.27625,                 0.1171,                   0.06,                0.02573,                 2.3629,                 3.5506,                 1.0871,             0.00032767,             0.00032767,             0.00032767
                      4,                 2.3133,                 3.6679,                 1.0362,                0.38388,                0.12541,                0.06501,                0.03123,                 2.1132,                 3.1312,                 1.0503,             0.00036725,             0.00036725,             0.00036725
                      5,                 2.2716,                 3.4636,                 1.0225,                0.34641,                0.19745,                0.08416,                0.04073,                 2.0706,                   2.82,                 1.0353,             0.00036634,             0.00036634,             0.00036634
                      6,                  2.205,                 3.2725,                 1.0322,                0.23033,                 0.2454,                0.09834,                0.04587,                 1.9958,                  2.703,                 1.0897,             0.00036542,             0.00036542,             0.00036542
                      7,                 2.1867,                 3.1221,                 1.0243,                 0.2306,                0.22157,                0.10173,                0.05133,                 1.9402,                 2.6167,                 1.0541,             0.00036451,             0.00036451,             0.00036451
                      8,                 2.0764,                 2.9097,                 1.0088,                 0.3014,                0.26146,                0.10616,                0.05499,                 1.9404,                 2.5939,                 1.0643,             0.00036359,             0.00036359,             0.00036359
                      9,                  2.112,                 2.8838,                 1.0228,                0.24189,                 0.2561,                0.11588,                  0.056,                 1.9904,                  2.523,                 1.0642,             0.00036267,             0.00036267,             0.00036267
                     10,                 2.0582,                  2.763,                 1.0045,                0.22549,                0.20071,                 0.0896,                0.04612,                 1.8636,                 2.4602,                 1.0331,             0.00036176,             0.00036176,             0.00036176
                     11,                 2.0433,                 2.7358,                 1.0002,                0.17892,                0.18686,                 0.1133,                0.05707,                 1.8604,                 2.3872,                  1.019,             0.00036084,             0.00036084,             0.00036084
                     12,                 2.0217,                 2.6568,                 1.0063,                0.16172,                0.23047,                0.11084,                0.05854,                 1.8278,                 2.3194,                 1.0239,             0.00035993,             0.00035993,             0.00035993
                     13,                 2.0261,                 2.5779,                 1.0045,                 0.3497,                0.17254,                0.10977,                0.05761,                 1.9407,                 2.4107,                 1.0315,             0.00035901,             0.00035901,             0.00035901
                     14,                 2.0235,                 2.5551,                0.98727,                0.20164,                0.19855,                0.12846,                0.06445,                  1.812,                 2.2773,                 1.0169,              0.0003581,              0.0003581,              0.0003581
                     15,                 1.9939,                 2.5107,                0.99248,                0.18363,                0.18906,                0.12597,                0.06657,                 1.8047,                 2.3091,                  1.012,             0.00035718,             0.00035718,             0.00035718
                     16,                 1.9686,                 2.4171,                0.98971,                0.27016,                0.17605,                0.11773,                0.06006,                 1.7676,                 2.5041,                 1.0116,             0.00035626,             0.00035626,             0.00035626
                     17,                 1.9605,                  2.424,                0.98452,                0.10311,                 0.2012,                0.11736,                0.05992,                 1.8476,                 2.3359,                 1.0125,             0.00035535,             0.00035535,             0.00035535
                     18,                 1.9612,                 2.3598,                 0.9765,                0.17771,                0.19217,                0.13588,                0.07053,                 1.8483,                 2.3161,                 1.0202,             0.00035443,             0.00035443,             0.00035443
                     19,                 1.9696,                 2.3428,                0.98316,                  0.142,                0.21193,                 0.1273,                0.07096,                 1.7791,                 2.4452,                 1.0149,             0.00035352,             0.00035352,             0.00035352
                     20,                 1.9585,                 2.2894,                0.98194,                0.18327,                0.22134,                 0.1395,                0.07762,                 1.7949,                 2.2241,                 1.0346,              0.0003526,              0.0003526,              0.0003526
                     21,                 1.8877,                 2.2095,                0.97375,                0.25215,                0.29581,                0.14942,                0.08015,                 1.7827,                  2.245,                 1.0187,             0.00035169,             0.00035169,             0.00035169
                     22,                 1.8983,                  2.177,                 0.9762,                0.24188,                0.24375,                0.14204,                0.07512,                 1.7776,                 2.3569,                 1.0362,             0.00035077,             0.00035077,             0.00035077
                     23,                 1.9085,                 2.1686,                0.98206,                0.17748,                0.30301,                0.17914,                0.09556,                 1.7557,                  2.106,                  1.015,             0.00034985,             0.00034985,             0.00034985
                     24,                 1.8948,                 2.1536,                0.97701,                0.21165,                0.21145,                0.16602,                0.09106,                 1.7754,                 2.2667,                 1.0198,             0.00034894,             0.00034894,             0.00034894
                     25,                 1.8868,                 2.0531,                0.97286,                0.26691,                0.24935,                0.20129,                0.11618,                 1.7263,                 2.0804,                 1.0036,             0.00034802,             0.00034802,             0.00034802
                     26,                 1.8422,                 1.9629,                0.96842,                0.23196,                0.26551,                0.17015,                0.09677,                 1.7097,                 2.2263,                 1.0091,             0.00034711,             0.00034711,             0.00034711
                     27,                 1.9037,                 2.0628,                0.97558,                0.18205,                0.25721,                0.17429,                0.09469,                 1.7405,                 2.2355,                 1.0184,             0.00034619,             0.00034619,             0.00034619
                     28,                 1.8841,                 1.9673,                 0.9705,                0.15436,                0.21164,                0.15684,                0.08496,                 1.7605,                 2.1903,                 1.0134,             0.00034527,             0.00034527,             0.00034527
                     29,                  1.813,                 1.9201,                0.96073,                0.18512,                0.23928,                 0.1582,                0.08184,                 1.8507,                 2.2365,                 1.0263,             0.00034436,             0.00034436,             0.00034436
                     30,                 1.8127,                  1.885,                0.96261,                0.38485,                0.18308,                0.20948,                 0.1123,                 1.7926,                  2.182,                 1.0059,             0.00034344,             0.00034344,             0.00034344
                     31,                 1.8505,                 1.9285,                0.96579,                0.18688,                0.25664,                0.20369,                0.11092,                 1.7751,                 2.1552,                 1.0139,             0.00034253,             0.00034253,             0.00034253
