                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3618,                 4.9548,                 1.2545,                0.56374,                0.09474,                0.05932,                0.02794,                 1.9409,                 3.3094,                 1.0987,             0.00012222,             0.00012222,             0.00012222
                      2,                 2.0389,                 3.6886,                 1.0639,                0.25965,                0.20631,                0.10363,                0.05815,                 1.7805,                 2.6273,                  1.048,             0.00024312,             0.00024312,             0.00024312
                      3,                 1.9126,                 3.2007,                 1.0453,                0.17443,                0.30405,                0.17264,                0.08485,                 1.7093,                 2.3535,                  1.056,             0.00036158,             0.00036158,             0.00036158
                      4,                 1.8427,                 2.8949,                 1.0378,                0.12449,                0.29357,                 0.1652,                0.09236,                 1.6958,                 2.3239,                 1.0948,             0.00035901,             0.00035901,             0.00035901
                      5,                 1.8034,                 2.7468,                 1.0221,                0.22201,                 0.3244,                0.16203,                 0.0928,                  1.618,                 2.2526,                 1.0469,             0.00035535,             0.00035535,             0.00035535
                      6,                 1.7343,                 2.5211,                 1.0159,                0.16761,                0.27659,                 0.1284,                0.07075,                 1.6409,                 2.1952,                 1.0406,             0.00035169,             0.00035169,             0.00035169
                      7,                  1.694,                 2.3765,                 1.0119,                0.17262,                0.30361,                0.19109,                0.11368,                 1.5801,                  2.082,                  1.037,             0.00034802,             0.00034802,             0.00034802
                      8,                 1.7053,                 2.2379,                 1.0039,                0.24104,                0.30359,                0.18923,                0.10741,                 1.5895,                 2.2165,                 1.0379,             0.00034436,             0.00034436,             0.00034436
                      9,                 1.6752,                 2.1678,                0.99927,                0.14604,                0.31842,                0.18526,                0.10584,                 1.5875,                 2.0303,                 1.0178,              0.0003407,              0.0003407,              0.0003407
                     10,                 1.6475,                 2.0176,                0.99334,                 0.2972,                0.29049,                 0.1799,                0.10078,                 1.5957,                 2.1555,                 1.0276,             0.00033703,             0.00033703,             0.00033703
                     11,                 1.6228,                 1.9303,                0.98499,                0.20474,                0.29881,                0.20024,                0.11387,                 1.5806,                 2.2293,                 1.0238,             0.00033337,             0.00033337,             0.00033337
                     12,                 1.6062,                 1.7993,                0.98463,                0.25301,                0.31102,                0.25633,                0.14488,                 1.5813,                 1.9216,                 1.0251,             0.00032971,             0.00032971,             0.00032971
                     13,                 1.5811,                 1.7371,                0.98295,                0.27057,                0.38184,                0.27733,                0.15382,                 1.5762,                 2.1813,                 1.0212,             0.00032604,             0.00032604,             0.00032604
                     14,                 1.6093,                 1.7142,                0.97624,                 0.3029,                0.27931,                0.25943,                0.14281,                 1.6298,                  2.088,                 1.0309,             0.00032238,             0.00032238,             0.00032238
                     15,                 1.5906,                 1.6555,                0.97786,                0.29316,                0.32661,                0.25521,                0.14435,                 1.6096,                 1.9937,                 1.0413,             0.00031872,             0.00031872,             0.00031872
                     16,                 1.5489,                 1.5539,                 0.9685,                0.35158,                0.32289,                0.26704,                0.15405,                 1.5703,                 2.0001,                 1.0129,             0.00031506,             0.00031506,             0.00031506
                     17,                 1.5495,                 1.5046,                0.97073,                0.33139,                0.35427,                0.30917,                0.17759,                 1.5597,                 1.9242,                 1.0166,             0.00031139,             0.00031139,             0.00031139
                     18,                 1.5216,                 1.4591,                0.96352,                0.27889,                0.32104,                0.27795,                0.15249,                 1.5726,                 1.7633,                 1.0421,             0.00030773,             0.00030773,             0.00030773
                     19,                 1.5132,                 1.4145,                0.96111,                0.26249,                0.39541,                0.30237,                0.17378,                 1.5561,                 1.8178,                 1.0137,             0.00030407,             0.00030407,             0.00030407
                     20,                 1.5222,                 1.3942,                0.95365,                0.32893,                0.34154,                0.31479,                0.18319,                 1.5637,                  1.795,                 1.0125,              0.0003004,              0.0003004,              0.0003004
                     21,                 1.5075,                 1.3275,                0.95618,                0.35121,                0.29458,                0.29258,                 0.1677,                 1.5784,                 1.8925,                 1.0172,             0.00029674,             0.00029674,             0.00029674
                     22,                  1.474,                 1.3045,                0.95061,                0.21752,                0.33554,                0.28132,                0.16652,                 1.5861,                 1.8158,                 1.0288,             0.00029308,             0.00029308,             0.00029308
                     23,                 1.4677,                 1.2683,                0.94871,                0.26834,                0.35256,                0.29955,                0.17085,                 1.5837,                 2.0133,                  1.019,             0.00028941,             0.00028941,             0.00028941
                     24,                 1.4465,                 1.2489,                0.94685,                0.21061,                0.40282,                0.29724,                0.17164,                 1.5862,                 1.7825,                 1.0204,             0.00028575,             0.00028575,             0.00028575
                     25,                 1.4498,                 1.2294,                0.94291,                0.30912,                0.43221,                0.35052,                 0.2016,                 1.5586,                 1.8359,                  1.023,             0.00028209,             0.00028209,             0.00028209
                     26,                 1.4415,                  1.209,                0.94073,                 0.3313,                0.30543,                0.25933,                 0.1454,                  1.558,                  1.974,                 1.0153,             0.00027842,             0.00027842,             0.00027842
                     27,                 1.4348,                 1.1706,                0.94232,                0.26772,                0.43728,                0.28561,                0.16495,                 1.5899,                 1.8608,                 1.0189,             0.00027476,             0.00027476,             0.00027476
                     28,                 1.4152,                 1.1301,                0.94057,                0.31619,                0.39898,                0.29454,                0.16432,                 1.5546,                 1.8347,                 1.0238,              0.0002711,              0.0002711,              0.0002711
                     29,                 1.4134,                  1.124,                0.94307,                0.35484,                0.34435,                0.30882,                0.17656,                 1.5664,                 1.7489,                 1.0266,             0.00026744,             0.00026744,             0.00026744
                     30,                 1.4297,                 1.1209,                0.93602,                0.24337,                 0.3964,                0.30976,                0.17589,                 1.5566,                 1.7591,                 1.0158,             0.00026377,             0.00026377,             0.00026377
                     31,                 1.4162,                 1.0925,                 0.9349,                0.33011,                0.36731,                0.31459,                0.17919,                 1.5581,                 1.8055,                 1.0166,             0.00026011,             0.00026011,             0.00026011
                     32,                 1.3792,                 1.0944,                0.92878,                0.27621,                0.44087,                0.30849,                0.17425,                 1.5508,                  1.755,                 1.0152,             0.00025645,             0.00025645,             0.00025645
                     33,                 1.3782,                  1.077,                0.92989,                0.25951,                0.47497,                0.31039,                0.17044,                 1.5635,                 1.8219,                 1.0193,             0.00025278,             0.00025278,             0.00025278
                     34,                 1.3797,                 1.0648,                0.93422,                 0.3731,                0.34257,                0.32262,                0.17713,                 1.5571,                 1.7559,                  1.013,             0.00024912,             0.00024912,             0.00024912
                     35,                 1.3754,                 1.0516,                0.92426,                0.25265,                0.41942,                 0.3178,                  0.181,                 1.5478,                 1.7371,                 1.0158,             0.00024546,             0.00024546,             0.00024546
                     36,                 1.3828,                 1.0453,                0.92604,                0.36136,                0.35926,                0.32169,                0.17976,                 1.5653,                 1.7557,                 1.0214,             0.00024179,             0.00024179,             0.00024179
                     37,                 1.3558,                   1.01,                0.92528,                0.29048,                0.40719,                0.31661,                0.17657,                 1.5055,                 1.7705,                 1.0082,             0.00023813,             0.00023813,             0.00023813
                     38,                  1.325,                0.96158,                0.91979,                0.33907,                0.38342,                0.30943,                0.17111,                 1.5597,                  1.773,                 1.0226,             0.00023447,             0.00023447,             0.00023447
                     39,                 1.3477,                0.97329,                0.91763,                0.31766,                0.42386,                0.35971,                0.20394,                 1.5285,                 1.7312,                 1.0074,             0.00023081,             0.00023081,             0.00023081
                     40,                 1.3148,                0.94769,                0.91392,                0.29923,                0.41607,                0.32331,                0.18433,                 1.5468,                 1.7876,                 1.0132,             0.00022714,             0.00022714,             0.00022714
                     41,                 1.3075,                0.94526,                0.91248,                0.33351,                0.38627,                0.29174,                0.16754,                  1.575,                 1.8024,                 1.0312,             0.00022348,             0.00022348,             0.00022348
                     42,                  1.311,                0.95075,                0.91306,                0.22873,                0.40404,                0.29084,                0.16429,                 1.5861,                 1.8119,                 1.0323,             0.00021982,             0.00021982,             0.00021982
                     43,                 1.3127,                0.92878,                0.91336,                0.31342,                0.38916,                0.30314,                0.16992,                  1.594,                 1.8854,                 1.0315,             0.00021615,             0.00021615,             0.00021615
                     44,                 1.2943,                0.91975,                0.91079,                0.31648,                0.37183,                0.29342,                0.16864,                  1.595,                 1.8032,                 1.0334,             0.00021249,             0.00021249,             0.00021249
                     45,                 1.3134,                0.92662,                 0.9113,                0.32582,                0.42314,                0.30811,                0.17128,                 1.5921,                 1.8795,                 1.0298,             0.00020883,             0.00020883,             0.00020883
                     46,                 1.3077,                0.91722,                0.90891,                0.23863,                0.37777,                0.28968,                0.16146,                 1.5558,                 1.9089,                  1.024,             0.00020516,             0.00020516,             0.00020516
                     47,                 1.3024,                0.90183,                0.90847,                 0.3131,                0.34816,                0.27161,                0.15386,                 1.5363,                 1.9268,                 1.0197,              0.0002015,              0.0002015,              0.0002015
                     48,                 1.2724,                0.88587,                0.90964,                0.22971,                0.40039,                0.28526,                0.16023,                 1.5721,                 1.8954,                 1.0305,             0.00019784,             0.00019784,             0.00019784
                     49,                 1.2891,                0.90215,                0.90498,                0.26377,                0.41997,                0.30932,                0.17035,                 1.5571,                  1.847,                 1.0247,             0.00019418,             0.00019418,             0.00019418
                     50,                 1.2639,                0.86238,                0.90665,                0.37336,                 0.3485,                0.31163,                0.17917,                 1.5496,                 1.8759,                 1.0213,             0.00019051,             0.00019051,             0.00019051
                     51,                  1.264,                0.86443,                0.90868,                0.32887,                0.38283,                0.34776,                0.19414,                 1.5548,                 1.8765,                 1.0133,             0.00018685,             0.00018685,             0.00018685
                     52,                 1.2697,                 0.8689,                0.90539,                0.28881,                0.38829,                0.27734,                0.15922,                 1.5153,                  1.846,                 1.0152,             0.00018319,             0.00018319,             0.00018319
                     53,                 1.2666,                0.86156,                0.90201,                 0.3502,                0.35652,                0.33525,                0.19162,                 1.5536,                 1.7039,                 1.0195,             0.00017952,             0.00017952,             0.00017952
                     54,                 1.2484,                 0.8385,                0.89541,                0.31372,                0.39572,                   0.29,                0.16432,                 1.6011,                 1.7269,                 1.0366,             0.00017586,             0.00017586,             0.00017586
                     55,                 1.2524,                0.84885,                0.89813,                0.33871,                0.37083,                0.30176,                0.17199,                 1.5573,                 1.8181,                 1.0276,              0.0001722,              0.0001722,              0.0001722
                     56,                 1.2214,                0.81579,                 0.8933,                0.32719,                 0.3619,                0.29986,                0.17248,                  1.538,                 1.8321,                 1.0176,             0.00016853,             0.00016853,             0.00016853
                     57,                  1.218,                0.81755,                0.89726,                0.34893,                0.32498,                0.29163,                  0.162,                 1.5734,                 1.7733,                 1.0255,             0.00016487,             0.00016487,             0.00016487
                     58,                 1.2205,                0.81268,                0.89563,                0.34197,                0.36294,                0.31186,                0.17819,                 1.5714,                  1.744,                 1.0303,             0.00016121,             0.00016121,             0.00016121
