                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.455,                 5.1857,                 1.3199,                0.03088,                0.27424,                0.03754,                0.01671,                 1.9527,                 3.7505,                 1.0696,             0.00012214,             0.00012214,             0.00012214
                      2,                 2.0998,                 4.0425,                 1.0882,                0.25875,                0.21577,                0.08949,                0.04627,                  1.859,                 2.7822,                 1.0985,             0.00024425,             0.00024425,             0.00024425
                      3,                  1.966,                 3.4497,                 1.0503,                 0.2748,                0.30578,                0.09704,                0.05028,                 1.7171,                 2.5295,                 1.0795,             0.00036515,             0.00036515,             0.00036515
                      4,                 1.9165,                 3.1094,                 1.0536,                0.15349,                0.31969,                0.17512,                0.08158,                 1.7926,                 2.4353,                 1.0828,             0.00036451,             0.00036451,             0.00036451
                      5,                 1.8262,                 2.9031,                 1.0489,                0.15509,                0.26525,                0.16268,                0.08776,                 1.6314,                 2.3887,                 1.0779,             0.00036267,             0.00036267,             0.00036267
                      6,                 1.7963,                 2.8079,                 1.0258,                0.35001,                0.28374,                 0.1919,                0.10245,                 1.6063,                 2.2446,                 1.0383,             0.00036084,             0.00036084,             0.00036084
                      7,                 1.7772,                 2.6465,                 1.0209,                0.15104,                0.27514,                0.13809,                0.08346,                 1.6275,                 2.3307,                 1.0468,             0.00035901,             0.00035901,             0.00035901
                      8,                 1.7535,                 2.5373,                 1.0091,                0.09562,                0.29285,                0.12682,                0.06707,                 1.6363,                 2.4342,                 1.0533,             0.00035718,             0.00035718,             0.00035718
                      9,                 1.6854,                 2.4396,                  1.003,                0.14664,                0.31488,                0.21359,                0.12483,                 1.6007,                 2.3259,                 1.0347,             0.00035535,             0.00035535,             0.00035535
                     10,                 1.7097,                 2.4107,                 0.9952,                 0.3203,                0.25236,                0.21657,                0.11789,                 1.6784,                 2.1777,                 1.0755,             0.00035352,             0.00035352,             0.00035352
                     11,                 1.7012,                 2.3099,                0.99603,                0.20209,                0.28273,                0.18811,                 0.1107,                 1.5749,                 2.1916,                 1.0351,             0.00035169,             0.00035169,             0.00035169
                     12,                  1.635,                 2.1459,                0.98952,                0.27359,                0.33957,                0.23114,                0.12681,                 1.6052,                 2.2866,                 1.0283,             0.00034985,             0.00034985,             0.00034985
                     13,                 1.6503,                 2.1138,                0.99257,                0.25174,                 0.3846,                 0.3017,                0.17202,                 1.5746,                 1.8975,                 1.0328,             0.00034802,             0.00034802,             0.00034802
                     14,                 1.6387,                 2.0515,                0.98894,                0.28542,                0.29942,                0.22495,                0.12609,                  1.572,                 2.0769,                 1.0343,             0.00034619,             0.00034619,             0.00034619
                     15,                  1.634,                 1.9787,                0.98247,                0.22463,                0.35948,                0.23804,                0.13327,                 1.5877,                 1.9451,                 1.0327,             0.00034436,             0.00034436,             0.00034436
                     16,                 1.5965,                 1.8704,                0.97687,                0.26806,                0.31014,                0.23605,                0.13737,                 1.5466,                 2.0277,                  1.017,             0.00034253,             0.00034253,             0.00034253
