                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.038,                 5.5477,                 1.4143,                      0,                      0,                      0,                      0,                 2.4103,                 4.9423,                 1.2428,              0.0001073,              0.0001073,              0.0001073
                      2,                 2.4965,                   4.71,                 1.1052,                0.04656,                0.16099,                0.04758,                0.01979,                 2.2706,                 4.3592,                  1.092,             0.00021398,             0.00021398,             0.00021398
                      3,                 2.4014,                 4.1286,                 1.0597,                0.02969,                0.31018,                0.06743,                0.02656,                 2.2901,                 3.6515,                 1.0777,             0.00031626,             0.00031626,             0.00031626
                      4,                 2.3185,                 3.6968,                 1.0406,                0.34036,                 0.1069,                0.06935,                0.03151,                 2.1606,                 3.2201,                 1.0679,             0.00034802,             0.00034802,             0.00034802
                      5,                 2.2776,                 3.4952,                 1.0251,                 0.3525,                0.16615,                  0.091,                0.04165,                 2.1113,                 2.8049,                 1.0244,              0.0003407,              0.0003407,              0.0003407
                      6,                 2.2157,                 3.2986,                 1.0333,                0.17136,                0.20049,                0.08151,                0.03923,                 2.0628,                 2.7712,                 1.0751,             0.00033337,             0.00033337,             0.00033337
                      7,                 2.1936,                 3.1488,                 1.0229,                0.22444,                 0.2252,                 0.0983,                0.04911,                 1.9737,                 2.6143,                 1.0522,             0.00032604,             0.00032604,             0.00032604
                      8,                 2.0874,                 2.9268,                  1.008,                0.28627,                0.29501,                0.09648,                0.04944,                 1.9635,                 2.8418,                 1.0674,             0.00031872,             0.00031872,             0.00031872
                      9,                 2.1179,                 2.8885,                 1.0228,                 0.2383,                0.22141,                 0.1074,                0.05238,                 1.9401,                 2.5309,                 1.0554,             0.00031139,             0.00031139,             0.00031139
                     10,                 2.0705,                 2.7882,                 1.0034,                0.22329,                0.20214,                0.10449,                0.05254,                 1.8729,                 2.4862,                 1.0466,             0.00030407,             0.00030407,             0.00030407
                     11,                 2.0522,                 2.7511,                0.99901,                0.17677,                0.13989,                 0.0959,                0.04654,                 1.9631,                 2.4998,                 1.0442,             0.00029674,             0.00029674,             0.00029674
                     12,                 2.0156,                 2.6707,                 1.0053,                0.23269,                0.21134,                0.11733,                0.05955,                 1.8463,                 2.2864,                 1.0151,             0.00028941,             0.00028941,             0.00028941
                     13,                 2.0391,                 2.6028,                 1.0057,                0.35213,                 0.1754,                0.10839,                0.05498,                 1.8799,                 2.3841,                 1.0103,             0.00028209,             0.00028209,             0.00028209
                     14,                 2.0399,                 2.5886,                0.98858,                0.17424,                0.24367,                0.13099,                0.06641,                 1.8046,                 2.2385,                 1.0097,             0.00027476,             0.00027476,             0.00027476
                     15,                 2.0026,                 2.5457,                0.99322,                0.25462,                0.17313,                0.13085,                 0.0663,                 1.8919,                 2.3145,                 1.0343,             0.00026744,             0.00026744,             0.00026744
                     16,                   1.98,                 2.4428,                0.98944,                0.20905,                0.19299,                 0.1441,                0.07507,                 1.7884,                 2.3781,                 1.0007,             0.00026011,             0.00026011,             0.00026011
                     17,                 1.9618,                 2.4428,                 0.9817,                0.18801,                0.20988,                0.14105,                0.07416,                 1.7905,                 2.2433,                 1.0062,             0.00025278,             0.00025278,             0.00025278
                     18,                 1.9573,                 2.3883,                0.97694,                0.10762,                0.20502,                0.14532,                0.07568,                 1.7837,                 2.2201,                 1.0046,             0.00024546,             0.00024546,             0.00024546
                     19,                 1.9652,                 2.3596,                0.97748,                0.14034,                0.24983,                0.13988,                0.07315,                 1.7896,                 2.3017,                 1.0063,             0.00023813,             0.00023813,             0.00023813
                     20,                 1.9545,                 2.3273,                0.97984,                0.13119,                0.22199,                0.15134,                0.08189,                 1.7544,                 2.1999,                 1.0179,             0.00023081,             0.00023081,             0.00023081
                     21,                 1.8858,                 2.2396,                0.96962,                0.20509,                0.26028,                0.15209,                0.08295,                 1.8067,                 2.2288,                 1.0178,             0.00022348,             0.00022348,             0.00022348
                     22,                 1.9078,                 2.2041,                0.97538,                0.21794,                0.24653,                0.14038,                0.07561,                 1.7374,                 2.4995,                 1.0114,             0.00021615,             0.00021615,             0.00021615
                     23,                 1.9062,                 2.1948,                 0.9811,                0.19685,                0.26734,                0.14729,                0.07865,                 1.7416,                  2.269,                 1.0115,             0.00020883,             0.00020883,             0.00020883
                     24,                 1.8956,                 2.1962,                0.97598,                0.18694,                0.21429,                0.14742,                0.08067,                 1.7682,                 2.3248,                 1.0175,              0.0002015,              0.0002015,              0.0002015
                     25,                 1.8792,                 2.0804,                0.96766,                0.13223,                0.22823,                0.17265,                 0.0957,                 1.7508,                  2.213,                0.99624,             0.00019418,             0.00019418,             0.00019418
                     26,                 1.8462,                 2.0109,                0.96368,                  0.148,                0.24482,                0.16845,                0.09164,                 1.7668,                 2.2349,                  1.011,             0.00018685,             0.00018685,             0.00018685
                     27,                 1.8979,                 2.0839,                 0.9744,                0.16736,                0.25628,                0.15839,                0.08783,                 1.7418,                 2.3373,                 1.0023,             0.00017952,             0.00017952,             0.00017952
                     28,                  1.879,                 2.0236,                0.96673,                0.17737,                0.23309,                0.17728,                0.09549,                 1.7837,                 2.2428,                 1.0048,              0.0001722,              0.0001722,              0.0001722
                     29,                 1.8163,                 1.9757,                 0.9571,                0.20339,                0.22877,                0.16718,                 0.0883,                 1.7875,                 2.2045,                 1.0218,             0.00016487,             0.00016487,             0.00016487
                     30,                 1.8205,                 1.9551,                0.96406,                0.14756,                0.22634,                0.18469,                0.09563,                 1.7947,                 2.0946,                 1.0053,             0.00015755,             0.00015755,             0.00015755
                     31,                 1.8687,                 1.9945,                0.96547,                  0.184,                0.24581,                0.19643,                 0.1029,                 1.7583,                 2.0969,                 1.0019,             0.00015022,             0.00015022,             0.00015022
                     32,                 1.8005,                 1.9043,                0.96045,                0.18669,                0.25614,                0.17469,                0.09464,                 1.7697,                 2.2378,                 1.0079,             0.00014289,             0.00014289,             0.00014289
                     33,                 1.8478,                 1.9597,                0.96166,                0.18684,                0.27301,                0.20825,                0.11136,                  1.731,                 2.1038,                 1.0019,             0.00013557,             0.00013557,             0.00013557
                     34,                 1.8346,                 1.8855,                0.95478,                0.16617,                0.27691,                0.18327,                0.10011,                 1.7378,                 2.2403,                 1.0117,             0.00012824,             0.00012824,             0.00012824
                     35,                 1.8128,                 1.8444,                 0.9584,                0.16162,                0.25058,                0.19206,                0.10259,                 1.7472,                 2.1202,                 1.0104,             0.00012092,             0.00012092,             0.00012092
                     36,                 1.8037,                 1.8163,                0.95846,                0.25637,                0.25687,                0.18705,                0.09736,                 1.7984,                 2.2383,                 1.0217,             0.00011359,             0.00011359,             0.00011359
                     37,                 1.8143,                  1.799,                0.95179,                0.18029,                0.24391,                0.18593,                0.10197,                 1.7452,                 2.1668,                0.99985,             0.00010626,             0.00010626,             0.00010626
                     38,                 1.8106,                 1.8048,                0.94908,                0.17248,                0.27961,                 0.1931,                0.10349,                 1.7473,                 2.1532,                 1.0124,             9.8938e-05,             9.8938e-05,             9.8938e-05
                     39,                 1.8471,                 1.8247,                0.95292,                0.17316,                0.26661,                0.18394,                  0.101,                 1.7812,                 2.1841,                 1.0095,             9.1612e-05,             9.1612e-05,             9.1612e-05
                     40,                 1.7992,                 1.7763,                0.95148,                0.20201,                0.25368,                0.19369,                0.10748,                 1.7249,                 2.1452,                0.99615,             8.4286e-05,             8.4286e-05,             8.4286e-05
                     41,                 1.7807,                 1.9652,                0.96603,                0.16881,                0.27197,                0.15827,                0.09148,                 1.7267,                 2.4784,                 1.0095,              7.696e-05,              7.696e-05,              7.696e-05
                     42,                 1.7614,                  1.846,                0.96908,                0.17956,                0.21442,                0.19365,                  0.106,                   1.74,                 2.1726,                 1.0064,             6.9634e-05,             6.9634e-05,             6.9634e-05
                     43,                 1.7397,                 1.7656,                0.96397,                0.17434,                0.26262,                0.18117,                 0.1016,                 1.7298,                 2.2073,                0.99902,             6.2308e-05,             6.2308e-05,             6.2308e-05
                     44,                 1.7415,                 1.7885,                0.95529,                0.19389,                 0.2794,                0.19728,                0.10671,                  1.738,                 2.0922,                 1.0064,             5.4982e-05,             5.4982e-05,             5.4982e-05
